# Filtered for technologies not requiring intermittent backup and extrapolated using an exponential function
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,coal,coal (conv pul CCS),2055,regional coal,0.443
electricity,coal,coal (conv pul CCS),2060,regional coal,0.452
electricity,coal,coal (conv pul CCS),2065,regional coal,0.461
electricity,coal,coal (conv pul CCS),2070,regional coal,0.468
electricity,coal,coal (conv pul CCS),2075,regional coal,0.475
electricity,coal,coal (conv pul CCS),2080,regional coal,0.481
electricity,coal,coal (conv pul CCS),2085,regional coal,0.487
electricity,coal,coal (conv pul CCS),2090,regional coal,0.492
electricity,coal,coal (conv pul CCS),2095,regional coal,0.497
electricity,coal,coal (conv pul CCS),2100,regional coal,0.501
electricity,coal,coal (IGCC CCS),1975,regional coal,0.334
electricity,coal,coal (IGCC CCS),1990,regional coal,0.334
electricity,coal,coal (IGCC CCS),2005,regional coal,0.334
electricity,coal,coal (IGCC CCS),2010,regional coal,0.334
electricity,coal,coal (IGCC CCS),2015,regional coal,0.334
electricity,coal,coal (IGCC CCS),2020,regional coal,0.366
electricity,coal,coal (IGCC CCS),2025,regional coal,0.394
electricity,coal,coal (IGCC CCS),2030,regional coal,0.417
electricity,coal,coal (IGCC CCS),2035,regional coal,0.437
electricity,coal,coal (IGCC CCS),2040,regional coal,0.455
electricity,coal,coal (IGCC CCS),2045,regional coal,0.47
electricity,coal,coal (IGCC CCS),2050,regional coal,0.483
electricity,coal,coal (IGCC CCS),2055,regional coal,0.494
electricity,coal,coal (IGCC CCS),2060,regional coal,0.504
electricity,coal,coal (IGCC CCS),2065,regional coal,0.513
electricity,coal,coal (IGCC CCS),2070,regional coal,0.521
electricity,coal,coal (IGCC CCS),2075,regional coal,0.528
electricity,coal,coal (IGCC CCS),2080,regional coal,0.534
electricity,coal,coal (IGCC CCS),2085,regional coal,0.539
electricity,coal,coal (IGCC CCS),2090,regional coal,0.544
electricity,coal,coal (IGCC CCS),2095,regional coal,0.548
electricity,coal,coal (IGCC CCS),2100,regional coal,0.552
electricity,gas,gas (CC CCS),1975,wholesale gas,0.465
electricity,gas,gas (CC CCS),1990,wholesale gas,0.465
electricity,gas,gas (CC CCS),2005,wholesale gas,0.465
electricity,gas,gas (CC CCS),2010,wholesale gas,0.465
electricity,gas,gas (CC CCS),2015,wholesale gas,0.465
electricity,gas,gas (CC CCS),2020,wholesale gas,0.497
electricity,gas,gas (CC CCS),2025,wholesale gas,0.524
electricity,gas,gas (CC CCS),2030,wholesale gas,0.546
electricity,gas,gas (CC CCS),2035,wholesale gas,0.565
electricity,gas,gas (CC CCS),2040,wholesale gas,0.581
electricity,gas,gas (CC CCS),2045,wholesale gas,0.595
electricity,gas,gas (CC CCS),2050,wholesale gas,0.607
electricity,gas,gas (CC CCS),2055,wholesale gas,0.617
electricity,gas,gas (CC CCS),2060,wholesale gas,0.626
electricity,gas,gas (CC CCS),2065,wholesale gas,0.634
electricity,gas,gas (CC CCS),2070,wholesale gas,0.641
electricity,gas,gas (CC CCS),2075,wholesale gas,0.648
electricity,gas,gas (CC CCS),2080,wholesale gas,0.654
electricity,gas,gas (CC CCS),2085,wholesale gas,0.659
electricity,gas,gas (CC CCS),2090,wholesale gas,0.664
electricity,gas,gas (CC CCS),2095,wholesale gas,0.668
electricity,gas,gas (CC CCS),2100,wholesale gas,0.672
electricity,refined liquids,refined liquids (CC CCS),1975,refined liquids industrial,0.36
electricity,refined liquids,refined liquids (CC CCS),1990,refined liquids industrial,0.36
electricity,refined liquids,refined liquids (CC CCS),2005,refined liquids industrial,0.36
electricity,refined liquids,refined liquids (CC CCS),2010,refined liquids industrial,0.418
electricity,refined liquids,refined liquids (CC CCS),2015,refined liquids industrial,0.42
electricity,refined liquids,refined liquids (CC CCS),2020,refined liquids industrial,0.46
electricity,refined liquids,refined liquids (CC CCS),2025,refined liquids industrial,0.493
electricity,refined liquids,refined liquids (CC CCS),2030,refined liquids industrial,0.52
electricity,refined liquids,refined liquids (CC CCS),2035,refined liquids industrial,0.543
electricity,refined liquids,refined liquids (CC CCS),2040,refined liquids industrial,0.562
